('https://image1.ljcdn.com/440600-inspection/0f1800d2-f314-450d-845b-3beaa9b01a93.jpg.296x216.jpg', '精装修3房 大阳台 送入户花园 家私电器全送  满五年', '金河水岸  | 3室2厅 | 109.21平米 | 北 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '148万', '单价13552元/平米')
('https://image1.ljcdn.com/440600-inspection/0f2799f9-83bb-4761-abb1-71aab54938f1.jpg.296x216.jpg', '保利中汇花园 高层景观房 交通便利', '保利中环二期中汇花园  | 5室2厅 | 292.29平米 | 南 北 | 精装', '高楼层(共36层)2016年建塔楼  -  大良新区', '610万', '单价20870元/平米')
('https://image1.ljcdn.com/440600-inspection/c6737c8d-4434-4dc4-8a00-38251c3cf6f8.jpg.296x216.jpg', '万科水晶城 3室2厅 208万', '万科水晶城  | 3室2厅 | 89平米 | 南 | 其他', '低楼层(共33层)塔楼  -  陈村', '208万', '单价23371元/平米')
('https://image1.ljcdn.com/440600-inspection/ae4711d7-281d-4968-8e0d-c24f72d11ae6.jpg.296x216.jpg', '嘉信城市花园三期 3室2厅 195万', '嘉信城市花园三期  | 3室2厅 | 155.26平米 | 东 | 毛坯', '低楼层(共25层)2011年建塔楼  -  大良新区', '195万', '单价12560元/平米')
('https://image1.ljcdn.com/440600-inspection/b4f9c739-f5e3-43b1-ba53-0f1b9b614213.jpg.296x216.jpg', '乐从雅居乐花园 电梯楼房', '乐从雅居乐花园  | 6室3厅 | 480平米 | 南 北 | 毛坯', '高楼层(共26层)2013年建塔楼  -  乐从', '576万', '单价12000元/平米')
('https://image1.ljcdn.com/440600-inspection/6157b918-3a70-4e51-a3ba-012e9471087a.jpg.296x216.jpg', '金河水岸 3室2厅 173万', '金河水岸  | 3室2厅 | 137.06平米 | 南 北 | 其他', '低楼层(共25层)2009年建塔楼  -  乐从', '173万', '单价12623元/平米')
('https://image1.ljcdn.com/440600-inspection/42fe5b0b-6f31-4f54-b6fd-46a7b1f53e74.jpg.296x216.jpg', '珠江楼 4室2厅 85万', '珠江楼  | 4室2厅 | 86平米 | 南 | 其他', '中楼层(共7层)1999年建板楼  -  大良中区', '85万', '单价9884元/平米')
('https://image1.ljcdn.com/440600-inspection/8a384050-b96d-46b6-b1dd-ae6e5229513e.jpg.296x216.jpg', '昌裕花园 4房2厅 95万元', '昌裕花园  | 4室2厅 | 110.5平米 | 东南 | 其他', '高楼层(共7层)2000年建板楼  -  大良中区', '95万', '单价8598元/平米')
('https://image1.ljcdn.com/440600-inspection/bdcb5abf-7e4b-4809-913a-8e7863eaf5e4.jpg.296x216.jpg', '威斯广场 装修三房出售', '威斯广场怡景轩  | 3室2厅 | 129平米 | 西 | 其他', '低楼层(共18层)2005年建塔楼  -  乐从', '155万', '单价12016元/平米')
('https://image1.ljcdn.com/440600-inspection/9dfb7c2d-dd65-4b7e-9d8b-f3b2ea60caef.jpg.296x216.jpg', '岭岚花园 环境优美', '岭岚花园雅翠轩  | 3室2厅 | 111.02平米 | 西北 | 简装', '高楼层(共11层)2006年建塔楼  -  大良西北区', '150万', '单价13512元/平米')
('https://image1.ljcdn.com/440600-inspection/207ee43d-46c7-4ef5-8b74-b9c5d2b82a65.JPG.296x216.jpg', '碧桂花城紫华苑 4室2厅 330万', '碧桂花城紫华苑  | 4室2厅 | 188平米 | 北 | 其他', '高楼层(共7层)2001年建塔楼  -  陈村', '330万', '单价17554元/平米')
('https://image1.ljcdn.com/440600-inspection/f8c5c33f-6199-44a4-a950-cb56e7ed9071.jpg.296x216.jpg', '康格斯花园凤凰苑 2室2厅 113万', '康格斯花园凤凰苑  | 2室2厅 | 79平米 | 南 | 其他', '中楼层(共18层)2014年建塔楼  -  大良西北区', '113万', '单价14304元/平米')
('https://image1.ljcdn.com/440600-inspection/4f72a89e-3f30-4d00-b9d2-36e8c692db63.jpg.296x216.jpg', '佛山新城 东瑞广场 毛坯房 业主诚心出售', '保利东湾东瑞广场  | 1室1厅 | 59平米 | 东 | 其他', '中楼层(共32层)2013年建塔楼  -  乐从', '110万', '单价18645元/平米')
('https://image1.ljcdn.com/440600-inspection/9c900e9b-d24f-417e-a977-dc5ba23440bf.jpg.296x216.jpg', '逸林苑 复式单位', '逸林苑  | 4室2厅 | 241平米 | 南 | 其他', '中楼层(共10层)2010年建板塔结合  -  大良南区', '360万', '单价14938元/平米')
('https://image1.ljcdn.com/440600-inspection/5e3fa50a-2a42-4b00-ae41-c6145ff23e93.jpg.296x216.jpg', '乐从雅居乐花园 4室2厅 338万', '乐从雅居乐花园  | 4室2厅 | 173.12平米 | 北 | 精装', '低楼层(共29层)2013年建塔楼  -  乐从', '338万', '单价19525元/平米')
('https://image1.ljcdn.com/440600-inspection/ad2cec7c-abc7-478f-b760-b731f47798f8.jpg.296x216.jpg', '金威郦都 3室2厅 170万', '金威郦都  | 3室2厅 | 110平米 | 东北 | 简装', '高楼层(共21层)2012年建塔楼  -  乐从', '170万', '单价15455元/平米')
('https://image1.ljcdn.com/440600-inspection/0c138189-0c3e-4ac9-84f0-362f028f2372.jpg.296x216.jpg', '依云水岸一期 大三房客改四房 环境舒适', '依云水岸一期  | 4室2厅 | 157平米 | 南 北 | 毛坯', '中楼层(共14层)2013年建塔楼  -  乐从', '360万', '单价22930元/平米')
('https://image1.ljcdn.com/440600-inspection/2c79d66a-3522-40d6-bc86-76db49aba90a.jpg.296x216.jpg', '都汇豪庭 3室2厅 178万', '都汇豪庭  | 3室2厅 | 146平米 | 南 | 其他', '中楼层(共12层)2006年建塔楼  -  大良中区', '178万', '单价12192元/平米')
('https://image1.ljcdn.com/440600-inspection/aa4435d5-2f04-4b2e-9086-2c097ccdcbe4.jpg.296x216.jpg', '满五 三房两厅 方正格局 精致装修 交通便利 采光好', '昌裕花园  | 3室2厅 | 85平米 | 南 | 其他', '中楼层(共7层)2000年建板楼  -  大良中区', '87.5万', '单价10295元/平米')
('https://image1.ljcdn.com/440600-inspection/755b0a44-1ba1-4cfa-9577-09cdfef6439c.jpg.296x216.jpg', '威斯广场 旭景豪庭 简装2房', '威斯广场旭景豪庭  | 2室1厅 | 72平米 | 南 | 简装', '低楼层(共7层)2005年建板楼  -  乐从', '105万', '单价14584元/平米')
('https://image1.ljcdn.com/440600-inspection/1f2c793f-f3d3-46af-910d-ca73928dfbf8.jpg.296x216.jpg', '乐从威斯广场峰景 *4房', '威斯广场峰景  | 4室2厅 | 143平米 | 南 | 精装', '中楼层(共25层)2005年建塔楼  -  乐从', '220万', '单价15385元/平米')
('https://image1.ljcdn.com/440600-inspection/4715f744-9f06-4ab2-a134-e60f04730c55.jpg.296x216.jpg', '星英半岛 毛坯5房', '星英半岛  | 5室2厅 | 219平米 | 南 北 | 其他', '低楼层(共28层)2016年建塔楼  -  陈村', '375万', '单价17124元/平米')
('https://image1.ljcdn.com/440600-inspection/291937e2-2063-44ae-b3a0-4ebf53901024.jpg.296x216.jpg', '简单装修 空间布局合理 户型方正 采光充足', '威斯广场怡景轩  | 2室1厅 | 80.5平米 | 东 | 其他', '高楼层(共18层)2005年建塔楼  -  乐从', '112万', '单价13914元/平米')
('https://image1.ljcdn.com/440600-inspection/ec1c98cc-4494-4dd6-88cc-d97ad7858a76.jpg.296x216.jpg', '顺联新城花园 4室2厅 214万', '顺联新城花园  | 4室2厅 | 167.26平米 | 北 | 其他', '中楼层(共25层)2010年建板塔结合  -  乐从', '214万', '单价12795元/平米')
('https://image1.ljcdn.com/440600-inspection/9de7cf07-9e26-423f-bfe1-7359a911dc91.jpg.296x216.jpg', '康格斯花园 花园小区', '康格斯花园红棉苑  | 2室1厅 | 77平米 | 西南 | 其他', '中楼层(共18层)2009年建塔楼  -  大良西北区', '115万', '单价14936元/平米')
('https://image1.ljcdn.com/440600-inspection/bd813a2f-9fbb-4dec-a434-6fe715186593.jpg.296x216.jpg', '佛奥湾 4室2厅 320万', '佛奥湾  | 4室2厅 | 135平米 | 北 | 其他', '39层2018年建板塔结合  -  乐从', '320万', '单价23704元/平米')
('https://image1.ljcdn.com/440600-inspection/73ac657c-3a0f-42a1-a1a7-0f856a20b609.jpg.296x216.jpg', '碧桂花城泰和苑 2室2厅 123万', '碧桂花城泰和苑  | 2室2厅 | 80平米 | 东 | 精装', '中楼层(共7层)2001年建塔楼  -  陈村', '123万', '单价15375元/平米')
('https://image1.ljcdn.com/440600-inspection/4f2f9ac4-83a7-4acd-ba2a-0b26abec6f33.jpg.296x216.jpg', '依云水岸 联排别墅', '依云水岸四期   | 独栋别墅 | 6室2厅 | 419平米 | 北 | 其他', '1层2011年建暂无数据  -  乐从', '1430万', '单价34129元/平米')
('https://image1.ljcdn.com/440600-inspection/9f3c6eb1-c760-4ca7-b391-61b980790f62.jpg.296x216.jpg', '金威郦都 2室2厅 150万', '金威郦都  | 2室2厅 | 80.19平米 | 东 | 其他', '高楼层(共21层)2012年建塔楼  -  乐从', '150万', '单价18706元/平米')
('https://image1.ljcdn.com/440600-inspection/5de4fb76-cbb4-435e-b1da-70f4dd9a5707.JPG.296x216.jpg', '蓝色海岸 3室2厅 215万', '蓝色海岸  | 3室2厅 | 130平米 | 东南 | 其他', '高楼层(共12层)2008年建塔楼  -  大良北区', '215万', '单价16539元/平米')
('https://image1.ljcdn.com/440600-inspection/702886c3-ab3a-4c28-b1ab-0b4b3025c7e2.jpg.296x216.jpg', '万科金域滨江 3室2厅 208万', '万科金域滨江  | 3室2厅 | 106平米 | 南 | 精装', '47层2017年建塔楼  -  大良新区', '208万', '单价19623元/平米')
('https://image1.ljcdn.com/440600-inspection/54f10e73-e411-45cd-b2d7-59c7c5de6452.jpg.296x216.jpg', '顺德雅居乐花园 电梯洋房', '顺德雅居乐花园  | 3室2厅 | 92平米 | 西北 | 毛坯', '低楼层(共24层)2011年建塔楼  -  大良南区', '230万', '单价25000元/平米')
('https://image1.ljcdn.com/440600-inspection/969b7a41-a79f-4a29-97ca-5e282a37f527.jpg.296x216.jpg', '保利中环广场 中悦花园 南向望江', '保利中环广场四期中悦花园  | 3室2厅 | 115平米 | 南 | 毛坯', '低楼层(共36层)2016年建塔楼  -  大良新区', '200万', '单价17392元/平米')
('https://image1.ljcdn.com/440600-inspection/0ab33f0a-3597-4341-ad54-549e216e7ede.jpg.296x216.jpg', '碧桂花城翠湖畔三区 4室2厅 300万', '碧桂花城翠湖畔三区  | 4室2厅 | 156平米 | 南 | 其他', '高楼层(共12层)2001年建塔楼  -  陈村', '300万', '单价19231元/平米')
('https://image1.ljcdn.com/440600-inspection/3467e1df-16d7-4568-9a5f-dfb861bbedc7.jpg.296x216.jpg', '金威郦都 4室2厅 220万', '金威郦都  | 4室2厅 | 152平米 | 东南 | 其他', '低楼层(共21层)2012年建塔楼  -  乐从', '220万', '单价14474元/平米')
('https://image1.ljcdn.com/440600-inspection/09c5fb8c-5275-473d-afc2-ab11483545ee.jpg.296x216.jpg', '保利中环三期第五大道 4室2厅 270万', '保利中环三期第五大道  | 4室2厅 | 144.38平米 | 南 | 毛坯', '低楼层(共27层)2016年建塔楼  -  大良新区', '270万', '单价18701元/平米')
('https://image1.ljcdn.com/440600-inspection/a20c4d40-90d5-4aae-9c55-2d5cff06fa1c.jpg.296x216.jpg', '海悦新城 2室1厅 153万', '海悦新城  | 2室1厅 | 84平米 | 西南 | 简装', '低楼层(共15层)2010年建塔楼  -  大良东区', '153万', '单价18215元/平米')
('https://image1.ljcdn.com/440600-inspection/4dae27d2-76fa-456f-ad37-21e7755d4214.jpg.296x216.jpg', '佛奥湾 *三房', '佛奥湾  | 3室2厅 | 135平米 | 西 | 其他', '39层2018年建板塔结合  -  乐从', '220万', '单价16297元/平米')
('https://image1.ljcdn.com/440600-inspection/0b429d06-6a9d-406c-8ef0-a475f767ca8c.jpg.296x216.jpg', '佳翠楼 3室2厅 135万', '佳翠楼  | 3室2厅 | 117.7平米 | 东南 | 简装', '8层2000年建板塔结合  -  大良中区', '135万', '单价11470元/平米')
('https://image1.ljcdn.com/440600-inspection/cf38abf8-a87b-41e4-99f6-693cf1861da0.jpg.296x216.jpg', '碧桂花城 3房2厅 140万元', '碧桂花城紫翠苑  | 3室2厅 | 109平米 | 东南 | 简装', '高楼层(共7层)2001年建板楼  -  陈村', '140万', '单价12845元/平米')
('https://image1.ljcdn.com/440600-inspection/b48e403e-c50f-4377-be35-d9aa68e424ba.jpg.296x216.jpg', '3房2厅 方正实用 有钥匙马上可以看房', '新雅村  | 3室2厅 | 112.55平米 | 东南 | 其他', '7层1998年建板塔结合  -  乐从', '88万', '单价7819元/平米')
('https://image1.ljcdn.com/440600-inspection/501c4639-6b96-4d75-8a26-c71fd8db8a2c.jpg.296x216.jpg', '依云水岸 舒适四房 南北对流 环境优美', '依云水岸二期  | 4室2厅 | 147.96平米 | 南 | 简装', '中楼层(共32层)2010年建塔楼  -  乐从', '308万', '单价20817元/平米')
('https://image1.ljcdn.com/440600-inspection/b34790cd-7ffa-40f9-8b08-b795d6bdba78.jpg.296x216.jpg', '保利东湾 二线望江四房 带装修', '保利东湾东景花园  | 4室2厅 | 158平米 | 南 北 | 其他', '中楼层(共29层)2014年建塔楼  -  乐从', '366.6万', '单价23203元/平米')
('https://image1.ljcdn.com/440600-inspection/b22e5ce8-a316-4427-84b3-be0d94361bde.jpg.296x216.jpg', '东滨一线望江 三江汇聚靓景 滨江长廊露天泳场', '保利东湾东滨花园  | 5室2厅 | 230平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  乐从', '580万', '单价25218元/平米')
('https://image1.ljcdn.com/440600-inspection/fce4ee23-c4f0-4bef-b429-4125271479e3.jpg.296x216.jpg', '保利中环三期第五大道 4室2厅 258万', '保利中环三期第五大道  | 4室2厅 | 143.5平米 | 南 | 毛坯', '低楼层(共31层)2016年建塔楼  -  大良新区', '258万', '单价17980元/平米')
('https://image1.ljcdn.com/440600-inspection/c89b374c-f924-4036-9e2f-aa43adcbf052.jpg.296x216.jpg', '龙湖春江名城 3室2厅 150万', '龙湖春江名城  | 3室2厅 | 98.2平米 | 南 | 其他', '39层2017年建塔楼  -  大良新区', '150万', '单价15275元/平米')
('https://image1.ljcdn.com/440600-inspection/f49f58d2-dad5-4957-91c7-cde744d93e16.jpg.296x216.jpg', '佛奥湾 成熟小区 交通便利', '佛奥湾  | 5室2厅 | 242平米 | 东 | 毛坯', '39层2018年建板塔结合  -  乐从', '290.4万', '单价12000元/平米')
('https://image1.ljcdn.com/440600-inspection/46a316f9-f496-4350-adcd-e67246126cb8.jpg.296x216.jpg', '花畔里 3室2厅 129万', '花畔里  | 3室2厅 | 102.56平米 | 南 北 | 精装', '中楼层(共16层)2014年建塔楼  -  大良西北区', '129万', '单价12579元/平米')
('https://image1.ljcdn.com/440600-inspection/a022bdfd-baad-4790-b8b9-1b4f87e40524.jpg.296x216.jpg', '乐从威斯广场 紫雅阁 两房两厅', '威斯广场  | 2室2厅 | 90平米 | 南 | 毛坯', '低楼层(共7层)2005年建塔楼  -  乐从', '109万', '单价12112元/平米')
('https://image1.ljcdn.com/440600-inspection/c217f90c-5a90-494b-b557-568316550ac0.jpg.296x216.jpg', '星英半岛 3室2厅 150万', '星英半岛  | 3室2厅 | 89平米 | 南 | 其他', '高楼层(共32层)2016年建塔楼  -  陈村', '150万', '单价16854元/平米')
('https://image1.ljcdn.com/440600-inspection/0c17a322-3793-4fe7-ac7c-727a1b948976.jpg.296x216.jpg', '公馆原著 实用三房 交通便利 配套完善', '逸峻闲庭  | 3室2厅 | 129平米 | 南 | 其他', '中楼层(共17层)2010年建塔楼  -  大良南区', '185万', '单价14342元/平米')
('https://image1.ljcdn.com/440600-inspection/33da44cb-ef77-4c9f-af4b-23f9a16cb30b.jpg.296x216.jpg', '逸林苑 复式单位 交通便利', '逸林苑  | 4室3厅 | 250平米 | 东南 | 其他', '中楼层(共10层)2010年建板塔结合  -  大良南区', '350万', '单价14000元/平米')
('https://image1.ljcdn.com/440600-inspection/e4abd7db-f690-4b83-9bec-c7eff41f56e2.jpg.296x216.jpg', '威斯广场雍景轩 3室2厅 164万', '威斯广场雍景轩  | 3室2厅 | 91.7平米 | 东南 | 其他', '低楼层(共11层)2005年建塔楼  -  乐从', '164万', '单价17885元/平米')
('https://image1.ljcdn.com/440600-inspection/b77d82bc-811f-4f77-a1ea-c123e847b520.jpg.296x216.jpg', '龙光水悦云天 4室2厅 310万', '龙光水悦云天  | 4室2厅 | 195平米 | 南 | 其他', '高楼层(共31层)塔楼  -  容桂', '310万', '单价15898元/平米')
('https://image1.ljcdn.com/440600-inspection/916a76aa-3613-4a34-8b1a-c87d1a2ddf63.jpg.296x216.jpg', '龙湖春江名城 3室2厅 150万', '龙湖春江名城  | 3室2厅 | 98.2平米 | 南 | 其他', '39层2017年建塔楼  -  大良新区', '150万', '单价15275元/平米')
('https://image1.ljcdn.com/440600-inspection/9a846ce6-df8c-4712-a7a8-fc6bc800ba5b.jpg.296x216.jpg', '依云水岸 毛坯3房 可以改4房', '依云水岸三期  | 3室2厅 | 136平米 | 南 | 毛坯', '低楼层(共31层)2011年建塔楼  -  乐从', '300万', '单价22059元/平米')
('https://image1.ljcdn.com/440600-inspection/682017c9-ed0b-46c3-956c-5348709d2557.jpg.296x216.jpg', '万科水晶城 3间房朝南向超大阳台高层视野牛，证够2年', '万科水晶城  | 3室2厅 | 96.8平米 | 西北 | 其他', '高楼层(共30层)2012年建塔楼  -  陈村', '190万', '单价19629元/平米')
('https://image1.ljcdn.com/440600-inspection/a7fce907-5a10-4a6b-b9cd-5bf58aa191f4.jpg.296x216.jpg', '康格斯花园 花园小区', '康格斯花园紫荆苑  | 3室2厅 | 88.9平米 | 北 | 精装', '中楼层(共18层)2009年建塔楼  -  大良西北区', '128万', '单价14399元/平米')
('https://image1.ljcdn.com/440600-inspection/c38a394c-2c85-43aa-8bb7-03581814ddfb.jpg.296x216.jpg', '帝锋康庭 1室0厅 28万', '帝锋康庭  | 1室0厅 | 32.63平米 | 东 | 其他', '20层2008年建板塔结合  -  乐从', '28万', '单价8582元/平米')
('https://image1.ljcdn.com/440600-inspection/e2337028-b98c-4826-ba53-fd1755ac8b35.jpg.296x216.jpg', '金河水岸 装修4房 小区完善', '金河水岸  | 4室2厅 | 130.8平米 | 南 | 简装', '低楼层(共25层)2009年建塔楼  -  乐从', '170万', '单价12997元/平米')
('https://image1.ljcdn.com/440600-inspection/bfa3ca2d-4e30-44bf-b2b2-3e759e159843.jpg.296x216.jpg', '乐从 河景苑 电梯房', '乐从河景苑  | 5室2厅 | 125平米 | 南 | 简装', '低楼层(共10层)塔楼  -  乐从', '140万', '单价11200元/平米')
('https://image1.ljcdn.com/440600-inspection/4875e53c-eb43-4dbb-b7d3-10ae92b93268.jpg.296x216.jpg', '万科金域滨江 4室2厅 270万', '万科金域滨江  | 4室2厅 | 140平米 | 南 | 简装', '47层2017年建塔楼  -  大良新区', '270万', '单价19286元/平米')
('https://image1.ljcdn.com/440600-inspection/f82f1346-dde9-4dc3-b9a2-fb9e2af528f1.jpg.296x216.jpg', '天悦湾花园 5室2厅 498万', '天悦湾花园  | 5室2厅 | 249.57平米 | 东南 | 毛坯', '中楼层(共31层)塔楼  -  大良东区', '498万', '单价19955元/平米')
('https://image1.ljcdn.com/440600-inspection/db453950-6be2-44a2-8627-6eaf2fe8a0e2.jpg.296x216.jpg', '龙湖春江名城 3室2厅 170万', '龙湖春江名城  | 3室2厅 | 98.53平米 | 南 | 其他', '低楼层(共39层)2017年建塔楼  -  大良新区', '170万', '单价17254元/平米')
('https://image1.ljcdn.com/440600-inspection/b8ac8ac6-b7f8-413c-9aa0-73a8c0b6b964.jpg.296x216.jpg', '乐从威斯广场 成熟小区', '威斯广场紫云轩  | 3室2厅 | 109平米 | 西北 | 简装', '高楼层(共7层)2005年建塔楼  -  乐从', '130.8万', '单价12000元/平米')
('https://image1.ljcdn.com/440600-inspection/d6d724c3-d4d7-4d87-b1e1-e4eabf2daeb0.JPG.296x216.jpg', '金域湾花园 大三房两卫 保养新净 采光好', '金域湾  | 3室2厅 | 117.8平米 | 南 西南 | 其他', '16层2006年建板塔结合  -  大良西北区', '199.8万', '单价16961元/平米')
('https://image1.ljcdn.com/440600-inspection/8ec24312-a503-4ad4-9b0e-b2a04d00e78f.jpg.296x216.jpg', '依云水岸一期 大三房客改四房 环境舒适', '依云水岸一期  | 4室2厅 | 159平米 | 南 北 | 精装', '中楼层(共14层)2013年建塔楼  -  乐从', '365万', '单价22956元/平米')
('https://image1.ljcdn.com/440600-inspection/2a9ee986-5ec2-4d73-bc45-abe805534a56.jpg.296x216.jpg', '嘉信城市广场 1室1厅 60万', '嘉信城市广场  | 1室1厅 | 45.7平米 | 南 | 毛坯', '13层2014年建板塔结合  -  大良新区', '60万', '单价13130元/平米')
