('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload7427d6df-18f2-4c82-b5da-8f3a73e162aa.jpg.296x216.jpg', '海沧建行站，进出岛方便，产权满两年，业主诚意出售', '亚桥花园  | 2室2厅 | 68.78平米 | 东 西 | 简装 | 无电梯', '中楼层(共8层)2002年建板楼  -  海沧生活区', '200万', '单价29079元/平米')
('https://image1.ljcdn.com/350200-inspection/f3802791-6cc1-4e16-930d-42780eebe09b.JPG.296x216.jpg', '旭日海湾三期 通透大三房！居家装修拎包入住！', '旭日海湾三期  | 3室2厅 | 135.31平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2004年建板楼  -  滨海社区', '450万', '单价33257元/平米')
('https://image1.ljcdn.com/350200-inspection/5ce0f40d-5e20-4604-ba97-e1a2e28a189e.JPG.296x216.jpg', '领海2+1房 毛坯房 业主诚意出售', '禹洲领海  | 3室2厅 | 89.26平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2011年建塔楼  -  海沧体育中心', '306万', '单价34282元/平米')
('https://image1.ljcdn.com/350200-inspection/577d1b3f-3460-4d18-b8a0-ec434a851933.jpg.296x216.jpg', '未来海岸蓝月湾二期 3室2厅 465万', '未来海岸蓝月湾二期  | 3室2厅 | 127.87平米 | 西南 | 简装 | 有电梯', '高楼层(共30层)2007年建板楼  -  未来海岸北师大', '465万', '单价36366元/平米')
('https://image1.ljcdn.com/350200-inspection/b9a5b4de-b020-4718-a8d0-f2dac897aa89.JPG.296x216.jpg', '水岸优质好房 户型方正 采光充足 配套齐全！', '水岸名筑  | 3室2厅 | 97.6平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  海沧体育中心', '270万', '单价27664元/平米')
('https://image1.ljcdn.com/350200-inspection/b6d81e75-e3dc-4727-b916-7b9262ae17b9.JPG.296x216.jpg', '天湖城天湖正规大三房，户型方正，东南朝向南北通透。', '天湖城天湖  | 3室2厅 | 134.88平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2012年建板楼  -  海沧区政府', '499万', '单价36996元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadb1d92b48-1733-4eeb-96d8-78dc8a4e33d2.JPG.296x216.jpg', '海晟维多利亚 190平大四房 沿海一排 满两年无贷', '海晟维多利亚  | 4室2厅 | 189.56平米 | 南 | 毛坯 | 有电梯', '低楼层(共31层)2010年建塔楼  -  滨海社区', '850万', '单价44841元/平米')
('https://image1.ljcdn.com/350200-inspection/ec2bc06c-fc78-41c6-810e-3c41bcc99b87.jpg.296x216.jpg', '蓝月湾二期 中高层海景房 满两年 东南方向 空户', '未来海岸蓝月湾二期  | 3室2厅 | 126.74平米 | 东南 | 简装 | 有电梯', '中楼层(共31层)2007年建板楼  -  未来海岸北师大', '400万', '单价31561元/平米')
('https://image1.ljcdn.com/350200-inspection/b05a8482-50f9-481e-b77f-8da41b8b93d7.JPG.296x216.jpg', '满五唯一+精装修+看房方便+户型方正', '未来海岸浪琴湾  | 3室2厅 | 122.93平米 | 南 北 | 精装 | 有电梯', '中楼层(共17层)2006年建板楼  -  未来海岸北师大', '430万', '单价34980元/平米')
('https://image1.ljcdn.com/350200-inspection/850f7744-7c56-46a8-b19b-7f773fbe38c9.jpg.296x216.jpg', '天心岛一线海景三房，满2年，诚意出售', '天心岛  | 3室2厅 | 122.61平米 | 东南 | 精装 | 有电梯', '低楼层(共23层)2009年建塔楼  -  滨海社区', '538万', '单价43879元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadef47fc5b-a2d3-4530-9323-08192e153592.jpg.296x216.jpg', '泉舜星园美第 交通方便 看房方便 欢迎来电', '泉舜星园美第  | 3室2厅 | 98.6平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  未来海岸北师大', '280万', '单价28398元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload88ef0523-f74b-4bca-92c2-6e0bd11c3efe.jpg.296x216.jpg', '未来橙堡 居家装修 电梯小3房 客厅朝南 产权满5年', '未来橙堡  | 3室2厅 | 92.53平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2005年建板楼  -  海沧体育中心', '295万', '单价31882元/平米')
('https://image1.ljcdn.com/350200-inspection/3f6c70ed-2568-4e39-9255-9af139728a16.jpg.296x216.jpg', '产权满两年 南北通透  视野无遮挡  业主自住精装修', '天心岛  | 3室2厅 | 120.81平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  滨海社区', '415万', '单价34352元/平米')
('https://image1.ljcdn.com/350200-inspection/955fe174-0506-4fac-98d2-c011d0a69bcf.jpg.296x216.jpg', '海沧未来海岸 云尊 配套齐全 北师大旁', '未来海岸云樽  | 3室2厅 | 109平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  未来海岸北师大', '405万', '单价37156元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploada5ddc76e-6516-4e86-96d0-f7176fa926b3.jpg.296x216.jpg', '亚太广场 4室2厅 410万', '亚太广场  | 4室2厅 | 95.27平米 | 东 | 精装 | 有电梯', '中楼层(共11层)2007年建板楼  -  海沧生活区', '410万', '单价43036元/平米')
('https://image1.ljcdn.com/350200-inspection/08340c5e-96c5-4195-a08a-47f85da4e56c.jpg.296x216.jpg', '福裕花园 2室2厅 250万', '福裕花园  | 2室2厅 | 87.7平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2002年建板楼  -  海沧生活区', '250万', '单价28507元/平米')
('https://image1.ljcdn.com/350200-inspection/4b97b2e3-dfba-4763-9927-b36a47c10b99.JPG.296x216.jpg', '万科城二期 3室2厅 270万', '万科城二期  | 3室2厅 | 86.26平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2016年建板楼  -  马銮湾', '270万', '单价31301元/平米')
('https://image1.ljcdn.com/350200-inspection/fc8af548-8493-45ee-8291-f78f0ddf1997.jpg.296x216.jpg', '旭日海湾三期 电梯两房 南北通透  大外拓客厅', '旭日海湾三期  | 2室2厅 | 92.63平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2004年建板楼  -  滨海社区', '298万', '单价32172元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadd47c1e6a-2837-45eb-a5c3-a1f30d85426e.JPG.296x216.jpg', '绿苑新城一组团 2室2厅 315万', '绿苑新城一组团  | 2室2厅 | 90.32平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  滨海社区', '315万', '单价34876元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload33d0fada-aa45-4f2f-9c4a-300bdef1bbe1.JPG.296x216.jpg', '绿苑小区一期 3室2厅 320万', '绿苑小区一期  | 3室2厅 | 103.44平米 | 东南 | 简装 | 有电梯', '低楼层(共16层)2007年建板楼  -  滨海社区', '320万', '单价30936元/平米')
('https://image1.ljcdn.com/350200-inspection/218ab2e6-28ba-4a5d-aa62-a0fef373da72.jpg.296x216.jpg', '新上 滨海新区 单总价低 居家户型 南北通透 欢迎品鉴', '海晟维多利亚  | 4室2厅 | 119.49平米 | 南 北 | 其他 | 有电梯', '低楼层(共32层)2010年建塔楼  -  滨海社区', '468万', '单价39167元/平米')
('https://image1.ljcdn.com/350200-inspection/01b1865c-3488-44cc-b9be-b65c973edff6.jpg.296x216.jpg', '兴港花园二期 低楼层 满两年 带露台使用面积10.8平', '兴港花园二期  | 3室2厅 | 106.15平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)板楼  -  海沧外国语片区', '359万', '单价33821元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploaded65d885-fd1e-4399-acc2-c4932513f099.jpg.296x216.jpg', '广场湖畔花园，大三房，空中别墅，可搭盖', '广场湖畔花园  | 3室2厅 | 58平米 | 西南 | 简装 | 无电梯', '低楼层(共3层)2007年建板楼  -  海沧外国语片区', '210万', '单价36207元/平米')
('https://image1.ljcdn.com/350200-inspection/f4356717-160e-43c2-9283-003d1a6014cc.jpg.296x216.jpg', '全新装修天湖城三室两厅两卫，户型方正，中高楼层。', '天湖城天湖  | 3室2厅 | 127.7平米 | 南 北 | 精装 | 有电梯', '中楼层(共26层)2012年建板楼  -  海沧区政府', '470万', '单价36806元/平米')
('https://image1.ljcdn.com/350200-inspection/987c7f0b-02c4-49b3-b9c7-35de54f1dc92.jpg.296x216.jpg', '旭日海湾三期 3室2厅 430万', '旭日海湾三期  | 3室2厅 | 135.51平米 | 西南 | 精装 | 有电梯', '低楼层(共11层)2004年建板楼  -  滨海社区', '430万', '单价31732元/平米')
('https://image1.ljcdn.com/350200-inspection/098f97cc-90e6-4ca0-ba8d-251f139e8bac.JPG.296x216.jpg', '三源弘  产权满两年 生活配套齐全 交通便利', '三源弘  | 2室1厅 | 60.9平米 | 东南 | 简装 | 无电梯', '中楼层(共8层)2005年建塔楼  -  未来海岸北师大', '198万', '单价32513元/平米')
('https://image1.ljcdn.com/350200-inspection/7a108008-3716-4550-a85b-d5fbe50e0e70.jpg.296x216.jpg', '旭日海湾三期 3室2厅 290万', '旭日海湾三期  | 3室2厅 | 105.75平米 | 南 | 简装 | 有电梯', '低楼层(共10层)2004年建板楼  -  滨海社区', '290万', '单价27424元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload70fc970d-188d-4d3e-a980-e1b7475eda68.jpg.296x216.jpg', '未来橙堡 2室1厅 280万', '未来橙堡  | 2室1厅 | 92.49平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2005年建板楼  -  海沧体育中心', '280万', '单价30274元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload9f4964f3-bc1d-45a3-9706-0a7ce395b25e.jpg.296x216.jpg', '天御花园高楼层三房，客厅朝中庭，景观面优美，绿化高', '天御小区  | 3室2厅 | 126.77平米 | 南 北 | 其他 | 有电梯', '中楼层(共32层)2007年建板楼  -  海沧区政府', '450万', '单价35498元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploade81f3f5d-dcfe-418e-b4c5-6120af58ec8c.jpg.296x216.jpg', '天湖城天湖  居家大三房 户型方正  看房方遍', '天湖城天湖  | 3室2厅 | 136.22平米 | 东南 | 其他 | 有电梯', '中楼层(共28层)2012年建板楼  -  海沧区政府', '544.9万', '单价40000元/平米')
('https://image1.ljcdn.com/350200-inspection/8189f6bc-a1f6-469d-bb48-ecd58b0ed2e1.jpg.296x216.jpg', '未来海岸浪琴湾经典小三房可改四房 仅售320万', '未来海岸浪琴湾  | 3室2厅 | 94.48平米 | 西南 | 精装 | 无电梯', '中楼层(共7层)2006年建板楼  -  未来海岸北师大', '310万', '单价32812元/平米')
('https://image1.ljcdn.com/350200-inspection/f205f699-d362-4620-8c30-a8729df0370c.jpg.296x216.jpg', '未来海岸蓝月湾一期 产权清晰 小区雅静 生活方便', '未来海岸蓝月湾一期  | 3室2厅 | 101平米 | 东南 | 简装 | 有电梯', '高楼层(共31层)2007年建板楼  -  未来海岸北师大', '380万', '单价37624元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload7ae92496-3a0b-4c86-8bf5-0d9f60bd53a0.jpg.296x216.jpg', '天湖城南北通透户型 赠送60平的大露台，视野开阔', '天湖城天湖  | 3室2厅 | 114.49平米 | 南 北 | 简装 | 有电梯', '高楼层(共26层)2012年建板楼  -  海沧区政府', '435万', '单价37995元/平米')
('https://image1.ljcdn.com/350200-inspection/d66b66cd-0e10-4c01-9b6f-391217235886.JPG.296x216.jpg', '泉舜滨海上城 2室1厅 230万', '泉舜滨海上城  | 2室1厅 | 49.47平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)2009年建塔楼  -  滨海社区', '230万', '单价46493元/平米')
('https://image1.ljcdn.com/350200-inspection/5e3374a7-43da-4d9b-8fec-c00388ffe6e2.JPG.296x216.jpg', '嵩屿码头旁 海岸明珠精装大三房 业主急售', '海岸明珠花园  | 3室2厅 | 122.92平米 | 南 西北 | 精装 | 有电梯', '中楼层(共18层)2007年建板楼  -  未来海岸北师大', '368万', '单价29939元/平米')
('https://image1.ljcdn.com/350200-inspection/65f59429-1f83-4aa6-8483-2b7c61bcac54.jpg.296x216.jpg', '中骏天峰 3室2厅 900万', '中骏天峰  | 3室2厅 | 151.76平米 | 东南 北 | 其他 | 有电梯', '中楼层(共30层)2010年建塔楼  -  海沧体育中心', '900万', '单价59305元/平米')
('https://image1.ljcdn.com/350200-inspection/2f5f5a19-1a7d-4fc7-b691-94201f17b84b.jpg.296x216.jpg', '天御高楼层 海景三房 南北通透 带精装修', '天御小区  | 3室2厅 | 131.27平米 | 南 北 | 精装 | 有电梯', '高楼层(共34层)2007年建板楼  -  海沧区政府', '409万', '单价31158元/平米')
('https://image1.ljcdn.com/350200-inspection/d7b2828c-c3fc-4a61-8cfb-57a78d6767c8.jpg.296x216.jpg', '海投过云溪3房，带小花园，全明格局', '过云溪一组团  | 3室2厅 | 111.46平米 | 南 | 毛坯 | 有电梯', '低楼层(共18层)2015年建塔楼  -  东孚', '230万', '单价20636元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadc96b6d86-5cfd-4f6e-bfd2-5e914076b494.JPG.296x216.jpg', '满5年 户型方正采光很好，交通便利 看一线湖景', '银河花园  | 3室2厅 | 126.5平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  海沧生活区', '410万', '单价32412元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload4e4810bf-2075-44c6-8655-bfadb26ae01e.jpg.296x216.jpg', '水岸名筑 三房两卫一书房 户型方正 居家装 有学府', '水岸名筑  | 3室2厅 | 100.81平米 | 北 | 简装 | 有电梯', '低楼层(共16层)2008年建板塔结合  -  海沧体育中心', '290万', '单价28767元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload6bd5a555-44fa-4a7e-8927-1c2076aacca8.JPG.296x216.jpg', '蓝月湾一期 送大入户花园 通透户型 满五年', '未来海岸蓝月湾一期  | 3室2厅 | 130.75平米 | 南 北 | 其他 | 有电梯', '中楼层(共31层)2007年建板楼  -  未来海岸北师大', '400万', '单价30593元/平米')
('https://image1.ljcdn.com/350200-inspection/d57cb4ed-8d8e-4332-a9c8-4b2f7f5b4704.jpg.296x216.jpg', '禹洲华侨金海岸 4室2厅 458万', '禹洲华侨金海岸  | 4室2厅 | 120平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2008年建板塔结合  -  海沧体育中心', '458万', '单价38167元/平米')
('https://image1.ljcdn.com/350200-inspection/da5296d4-274f-4f30-a4c2-9efa77869f10.JPG.296x216.jpg', '彼岸 2室2厅 400万', '彼岸  | 2室2厅 | 92.45平米 | 西南 | 其他 | 有电梯', '中楼层(共18层)2013年建板楼  -  滨海社区', '400万', '单价43267元/平米')
('https://image1.ljcdn.com/350200-inspection/f2837d87-ccba-4c00-9b35-382cd20405e5.JPG.296x216.jpg', '旭日海湾 精装  建筑师改三房', '旭日海湾一期  | 3室2厅 | 46.86平米 | 西南 | 精装 | 无电梯', '中楼层(共7层)2004年建塔楼  -  滨海社区', '180万', '单价38413元/平米')
('https://image1.ljcdn.com/350200-inspection/9df6c013-de32-416e-ae84-b6b068a67eb0.jpg.296x216.jpg', '宏大花园 产权满五 精装修 采光好 中楼层', '宏大花园  | 3室1厅 | 96.15平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  未来海岸北师大', '263万', '单价27354元/平米')
('https://image1.ljcdn.com/350200-inspection/08f13422-0a17-40fc-8ce3-8079362c2af5.jpg.296x216.jpg', '文圃花园 2室2厅 240万', '文圃花园  | 2室2厅 | 81平米 | 南 北 | 其他 | 无电梯', '高楼层(共8层)2003年建板楼  -  海沧生活区', '240万', '单价29630元/平米')
('https://image1.ljcdn.com/350200-inspection/71e4db99-e597-4555-a9c0-b1496b89da70.jpg.296x216.jpg', '一梯两户，南北通透，厅带阳台和两房朝南，产权满五年', '富祥苑  | 3室2厅 | 106.04平米 | 南 北 | 精装 | 无电梯', '低楼层(共5层)2002年建板楼  -  海沧生活区', '295万', '单价27820元/平米')
('https://image1.ljcdn.com/350200-inspection/9b64c6aa-1d8b-4d39-8e99-367f19488b9b.JPG.296x216.jpg', '水岸名筑精装四房 满五唯一 三面采光 交通便利', '水岸名筑  | 4室2厅 | 128.16平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2008年建板塔结合  -  海沧体育中心', '447万', '单价34879元/平米')
('https://image1.ljcdn.com/350200-inspection/5e59ccc9-970b-4971-9080-855f83699d21.jpg.296x216.jpg', '未来海岸 挑高6米楼中楼   满五年 免增值税 产权在手', '泉舜星园美第  | 4室2厅 | 194平米 | 南 | 简装 | 有电梯', '高楼层(共11层)2005年建板楼  -  未来海岸北师大', '680万', '单价35052元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadfa659e2a-b09f-4f5b-96b6-ba1f68855aa6.JPG.296x216.jpg', '天湖城天湖 2室2厅 340万', '天湖城天湖  | 2室2厅 | 92.01平米 | 南 北 | 其他 | 有电梯', '低楼层(共30层)2012年建板楼  -  海沧区政府', '340万', '单价36953元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadcd35b8e0-6d25-49f5-b97a-14889324a299.jpg.296x216.jpg', '禹洲尊海 自住精装三房 拎包入住 通透 高层湖海双景', '禹洲尊海  | 3室2厅 | 89.37平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)2013年建塔楼  -  海沧体育中心', '375万', '单价41961元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadded1bcb5-5679-4f8c-b9c6-d521cc87f52d.JPG.296x216.jpg', '满二年省增值税，户型方正通透，带露台， 自住精装修', '海上明珠家园  | 3室2厅 | 126.21平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2007年建塔楼  -  滨海社区', '360万', '单价28524元/平米')
('https://image1.ljcdn.com/350200-inspection/4a92f194-9e56-4663-9cd9-924fe213de3b.jpg.296x216.jpg', '未来海岸蓝水郡 1室0厅 160万', '未来海岸蓝水郡  | 1室0厅 | 34.72平米 | 西南 | 简装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  海沧体育中心', '160万', '单价46083元/平米')
('https://image1.ljcdn.com/350200-inspection/66a01ded-d241-4b61-9de6-f965576b27fa.jpg.296x216.jpg', '1号公馆 3室2厅 519万', '1号公馆  | 3室2厅 | 139平米 | 南 北 | 其他 | 有电梯', '低楼层(共31层)2013年建板楼  -  海沧生活区', '519万', '单价37339元/平米')
('https://image1.ljcdn.com/350200-inspection/13cc6a5f-6dcd-4af9-853c-c3700da02dd9.jpg.296x216.jpg', '未来橙堡 2室2厅 275万', '未来橙堡  | 2室2厅 | 92.53平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2005年建板楼  -  海沧体育中心', '275万', '单价29721元/平米')
('https://image1.ljcdn.com/350200-inspection/cb0c537c-2d0d-48c6-91ff-cccd5ccab46a.jpg.296x216.jpg', '浪琴湾 精装修 南北通透 户型方正', '未来海岸浪琴湾  | 3室2厅 | 112.35平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  未来海岸北师大', '400万', '单价35604元/平米')
('https://image1.ljcdn.com/350200-inspection/767fd31e-e0c6-4a6e-a674-013a353bda9b.jpg.296x216.jpg', '未来海岸浪琴湾 大三房 南北通透', '未来海岸浪琴湾  | 3室2厅 | 122.13平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)2006年建板楼  -  未来海岸北师大', '435万', '单价35618元/平米')
